title,thumbnail,score,link
One Piece KAI,https://voiranime.com/wp-content/uploads/2020/01/thumb_5e10959f42183-110x150.jpg,4.2,https://voiranime.com/anime/one-piece-kai/
Mewkledreamy,https://voiranime.com/wp-content/uploads/2020/03/thumb_5e81ffe6b9ffe-110x150.png,2.7,https://voiranime.com/anime/mewkledreamy/
Boruto: Naruto Next Generations (VF),https://voiranime.com/wp-content/uploads/2020/01/thumb_5e0cd5d9cf00a-110x150.jpg,3.8,https://voiranime.com/anime/boruto-naruto-next-generations-vf/
100-man no Inochi no Ue ni Ore wa Tatteiru S2 (VF),https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf9473154-110x150.jpg,3.9,https://voiranime.com/anime/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-s2-vf/
The Defective,https://voiranime.com/wp-content/uploads/2021/08/thumb_610ac4e70c4cc-110x150.png,2.6,https://voiranime.com/anime/the-defective/
Kobayashi-san Chi no Maidragon S2 (VF),https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf9332529-110x150.jpg,4.1,https://voiranime.com/anime/kobayashi-san-chi-no-maidragon-s2-vf/
Tokyo Revengers (VF),https://voiranime.com/wp-content/uploads/2021/03/thumb_60520cb549c41-110x150.jpg,4,https://voiranime.com/anime/tokyo-revengers-vf/
Assault Lily: FRUITS,https://voiranime.com/wp-content/uploads/2021/07/thumb_60fa8684a9aaf-110x150.jpg,3.8,https://voiranime.com/anime/assault-lily-fruits/
Aikatsu!,https://voiranime.com/wp-content/uploads/2019/12/thumb_5e09e297a13b8-110x150.png,3.8,https://voiranime.com/anime/aikatsu/
High Guardian Spice,https://voiranime.com/wp-content/uploads/2021/10/high-spice-va-110x150.jpg,2.8,https://voiranime.com/anime/high-guardian-spice/
Super Dragon Ball Heroes,https://voiranime.com/wp-content/uploads/2020/11/thumb_5fa04427efc5c-110x150.jpg,3.5,https://voiranime.com/anime/super-dragon-ball-heroes/
Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo,https://voiranime.com/wp-content/uploads/2021/10/thumb_6176decd0d2e7-110x150.png,3.6,https://voiranime.com/anime/azur-lane-bisoku-zenshin-hokorashiki-bokou-ni-shukusai-wo/
Kaizoku Oujo,https://voiranime.com/wp-content/uploads/2021/07/thumb_60f9da1ec58fe-110x150.png,4.3,https://voiranime.com/anime/kaizoku-oujo/
Pokémon Evolutions,https://voiranime.com/wp-content/uploads/2021/10/thumb_617210316f50d-110x150.jpg,3.4,https://voiranime.com/anime/pokemon-evolutions/
Psychic Princess,https://voiranime.com/wp-content/uploads/2021/02/thumb_602a6ac94c4f0-110x150.jpg,4.2,https://voiranime.com/anime/psychic-princess/
Yawara!,https://voiranime.com/wp-content/uploads/2020/02/thumb_5e45e2e750c4b-110x150.jpg,3.4,https://voiranime.com/anime/yawara/
Love Live! Superstar!!,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf93cf6b0-110x150.jpg,3.9,https://voiranime.com/anime/love-live-superstar/
Fumetsu no Anata e (VF),https://voiranime.com/wp-content/uploads/2021/03/thumb_60520cb7470b5-110x150.jpg,4.4,https://voiranime.com/anime/fumetsu-no-anata-e-vf/
"Prince, Don’t Do This!",https://voiranime.com/wp-content/uploads/2021/01/thumb_5ff8f2ad42e71-110x150.png,4.1,https://voiranime.com/anime/prince-dont-do-this/
Kingdom 3,https://voiranime.com/wp-content/uploads/2020/03/thumb_5e81ffdcaa1cd-110x150.jpg,4.4,https://voiranime.com/anime/kingdom-3/
A Will Eternal,https://voiranime.com/wp-content/uploads/2020/10/thumb_5f81def99fd50-110x150.png,4.2,https://voiranime.com/anime/a-will-eternal/
Tsukipro The Animation 2,https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf91c73d9-110x150.jpg,4,https://voiranime.com/anime/tsukipro-the-animation-2/
The Demonic King Who Chases His Wife 2,https://voiranime.com/wp-content/uploads/2021/01/thumb_5ff8f2ab43a18-110x150.png,4.2,https://voiranime.com/anime/the-demonic-king-who-chases-his-wife-2/
Shuumatsu no Harem,https://voiranime.com/wp-content/uploads/2021/09/thumb_61435b61ab5ce-110x150.jpg,4,https://voiranime.com/anime/shuumatsu-no-harem/
Chinese Almanac Master,https://voiranime.com/wp-content/uploads/2020/06/thumb_5ed50588b822a-110x150.jpg,3.2,https://voiranime.com/anime/chinese-almanac-master/
Bureau of Paranormal Investigation,https://voiranime.com/wp-content/uploads/2021/01/thumb_5ff8f2b03a358-110x150.png,3.1,https://voiranime.com/anime/bureau-of-paranormal-investigation/
Asatir: Mirai no Mukashibanashi,https://voiranime.com/wp-content/uploads/2020/04/thumb_5e8bc00337830-110x150.jpg,3.9,https://voiranime.com/anime/asatir-mirai-no-mukashibanashi/
Meikyuu Black Company (VF),https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf952102f-110x150.png,3.8,https://voiranime.com/anime/meikyuu-black-company-vf/
The Legend of Luoxiaohei,https://voiranime.com/wp-content/uploads/2020/06/thumb_5ed505814e9b0-110x150.jpg,3.7,https://voiranime.com/anime/the-legend-of-luoxiaohei/
Show By Rock!! Stars!!,https://voiranime.com/wp-content/uploads/2020/12/thumb_5fcfacfe15c4a.jpg,3.7,https://voiranime.com/anime/show-by-rock-stars/
SD Gundam World Heroes,https://voiranime.com/wp-content/uploads/2021/04/thumb_606efb3932bf3-110x150.jpg,3.1,https://voiranime.com/anime/sd-gundam-world-heroes/
"Ore, Tsushima",https://voiranime.com/wp-content/uploads/2021/06/thumb_60c5bf8a9ade8-110x150.jpg,3.6,https://voiranime.com/anime/ore-tsushima/
